date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:37:09	70338/70338	---M--	200	added ('OK')	image/jpeg	date:Wed,%2015%20Nov%202023%2005:37:07%20GMT	https://htmldemo.net/eme/eme/images/banner/big-img/1.jpg	C:/Kebutuhan%20Jahit/tailor/htmldemo.net/eme/eme/images/banner/big-img/1.jpg	(from https://htmldemo.net/eme/eme/index.html)
12:37:09	26573/26573	---M--	200	added ('OK')	image/jpeg	date:Wed,%2015%20Nov%202023%2005:37:07%20GMT	https://htmldemo.net/eme/eme/images/banner/big-img/3.jpg	C:/Kebutuhan%20Jahit/tailor/htmldemo.net/eme/eme/images/banner/big-img/3.jpg	(from https://htmldemo.net/eme/eme/index.html)
12:37:11	13523/13523	---M--	200	added ('OK')	image/jpeg	date:Wed,%2015%20Nov%202023%2005:37:08%20GMT	https://htmldemo.net/eme/eme/images/product-2/pro-1/1.jpg	C:/Kebutuhan%20Jahit/tailor/htmldemo.net/eme/eme/images/product-2/pro-1/1.jpg	(from https://htmldemo.net/eme/eme/index.html)
12:37:11	15696/15696	---M--	200	added ('OK')	image/jpeg	date:Wed,%2015%20Nov%202023%2005:37:09%20GMT	https://htmldemo.net/eme/eme/images/product-2/pro-1/2.jpg	C:/Kebutuhan%20Jahit/tailor/htmldemo.net/eme/eme/images/product-2/pro-1/2.jpg	(from https://htmldemo.net/eme/eme/index.html)
12:37:12	15232/15232	---M--	200	added ('OK')	image/jpeg	date:Wed,%2015%20Nov%202023%2005:37:10%20GMT	https://htmldemo.net/eme/eme/images/product-2/pro-1/3.jpg	C:/Kebutuhan%20Jahit/tailor/htmldemo.net/eme/eme/images/product-2/pro-1/3.jpg	(from https://htmldemo.net/eme/eme/index.html)
12:37:12	15073/15073	---M--	200	added ('OK')	image/jpeg	date:Wed,%2015%20Nov%202023%2005:37:10%20GMT	https://htmldemo.net/eme/eme/images/product-2/pro-1/4.jpg	C:/Kebutuhan%20Jahit/tailor/htmldemo.net/eme/eme/images/product-2/pro-1/4.jpg	(from https://htmldemo.net/eme/eme/index.html)
12:37:12	12795/12795	---MC-	200	added ('OK')	image/png	date:Wed,%2015%20Nov%202023%2005:37:10%20GMT	https://htmldemo.net/eme/eme/images/test/client/1.png	C:/Kebutuhan%20Jahit/tailor/htmldemo.net/eme/eme/images/test/client/1.png	(from https://htmldemo.net/eme/eme/index.html)
12:37:14	1141/1141	---MC-	200	added ('OK')	image/png	date:Wed,%2015%20Nov%202023%2005:37:11%20GMT	https://htmldemo.net/eme/eme/images/others/shape/quote.png	C:/Kebutuhan%20Jahit/tailor/htmldemo.net/eme/eme/images/others/shape/quote.png	(from https://htmldemo.net/eme/eme/index.html)
12:37:14	16587/16587	---MC-	200	added ('OK')	image/png	date:Wed,%2015%20Nov%202023%2005:37:12%20GMT	https://htmldemo.net/eme/eme/images/test/client/2.png	C:/Kebutuhan%20Jahit/tailor/htmldemo.net/eme/eme/images/test/client/2.png	(from https://htmldemo.net/eme/eme/index.html)
12:37:15	13853/13853	---M--	200	added ('OK')	image/jpeg	date:Wed,%2015%20Nov%202023%2005:37:12%20GMT	https://htmldemo.net/eme/eme/images/blog/blog-img/1.jpg	C:/Kebutuhan%20Jahit/tailor/htmldemo.net/eme/eme/images/blog/blog-img/1.jpg	(from https://htmldemo.net/eme/eme/index.html)
